run_id,workflow,scenario_id,branch,env,service,status,failure_stage,commit_sha,image,tests_total,tests_failed,commit_ts,,test_ts,push_ts,deploy_ts,ended_ts,ttd_sec
18844673403,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,620f37f28d9783bf99928cd589a1603f2946ddfd,,1,1,2025-10-27T14:33:27Z,,,,,,
18844365871,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,dd6edb426ba076b48382be79568d3fda690e25de,,1,1,2025-10-27T14:24:08Z,,,,,,
18843287068,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,521244bab99a2ab031d80175d4b56acd23373dca,,1,1,2025-10-27T13:49:53Z,,,,,,
18842958283,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,f846b076b7eb71b80c12e3d13d158d10dac1695e,,1,1,2025-10-27T13:38:50Z,,,,,,
18842800318,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,ac1c0274672777ccfee45c87346773f82ccfffd5,,1,1,2025-10-27T13:33:40Z,,,,,,
18842421473,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,bccb128896708e5bea8648ee84487462969d71d8,,1,1,2025-10-27T13:21:24Z,,,,,,
18841726704,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,e2f2b5d42954de2d66a2fd88077dd77fb7706553,,1,1,2025-10-27T12:57:20Z,,,,,,
18841347209,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,d939d44cf91152a1763265e66af0d4693cecfe29,,1,1,2025-10-27T12:43:08Z,,,,,,
18840316058,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,fa2012c0bc593b0686330ab0dfe1661552f2c1a0,,1,1,2025-10-27T12:05:17Z,,,,,,
18840302534,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,752d7c0444507e4389b7f40ee2c8ad95412f1450,,1,1,2025-10-27T12:04:47Z,,,,,,
18836869243,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,563545db550c5a30760dc7fe372528a02c397b98,,1,1,2025-10-27T09:55:11Z,,,,,,
18836689083,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,d84b8a2babb44ce5a61a45f20994292400271f50,,1,1,2025-10-27T09:48:37Z,,,,,,
18836572149,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,ed2b85b0fc853b97fa65b622f3280a95d0b4d438,,1,1,2025-10-27T09:44:22Z,,,,,,
18836082012,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,aaf04229f653f52660ec1cb89e6786a008761db6,,1,1,2025-10-27T09:26:42Z,,,,,,
